Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_Conv_01_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_Conv_01_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
2580,12,4,14,49.30436270903817,107.52363222656079,70.87617342523565,4.733738718598596,100.5100122214274,151.5134577971222,3080.624270484792,12250.36,10532.524634454323,886.4999988285455,1181.9999984380383,0.0,-60074.57568286918,-4.620387646555029e6,-27733.50788398648,83354.41397842846,0.0
2581,13,4,14,49.30436270903817,-4.733855814279003,-5.409609788492607,4.73373871942085,80.3783767593614,124.67125470312635,1.1680584846774625e-10,11737.58,10532.524632922637,281.08474591920685,374.77966122559775,0.0,9.338183567586476e-9,-5.752140531008065e6,-27733.507875326068,26429.396397533274,0.0
2582,14,4,14,49.30436270903817,-4.733855814332316,-5.409609788526738,4.733704304083678,80.37837675936134,124.67125470312618,1.1680584846767594e-10,11451.84,10306.655999999999,281.08474591920685,374.77966122559775,0.0,9.338183567587081e-9,-5.616200560136803e6,-27721.10865650615,26429.396397533303,0.0
2583,15,4,14,49.30436270903817,-4.733855814347474,-5.409609788530431,4.733704336429845,80.37837675936134,124.6712547031255,1.1680584846766115e-10,11521.32,10369.188,281.08474591920685,374.77966122559775,0.0,9.33818356758767e-9,-5.649274249492958e6,-27727.194854307687,26429.3963975335,0.0
2584,16,4,14,49.30436270903817,-4.733855814345219,-5.40960978852787,4.73373871858526,80.37837675936134,124.6712547031255,1.1680584846766725e-10,12008.52,10532.524634488062,281.08474591920685,374.77966122559775,0.0,9.338183567587893e-9,-5.880850911485681e6,-27733.507884126935,26429.3963975335,0.0
2585,17,4,14,49.30436270903817,75.92543780330556,47.20244807137502,4.733738718509209,80.37837675793142,124.67125469504884,135.53934618235476,12881.86,10532.524634638548,281.0847459204037,374.7796612271935,0.0,-48.32094703803705,-5.25544124345461e6,-27733.507884927945,26429.39639938034,0.0
2586,18,4,14,49.30436270903817,122.48948496469387,82.10056315740296,5.2386896190028445,111.73440167893045,166.47931015273588,6118.817954251119,13868.44,9522.622021566114,886.4999988295006,1181.9999984392864,0.0,-127230.50677435775,-4.9950648920942405e6,-22670.076544190888,83354.41420403225,0.0
2587,19,4,14,49.30436270903817,132.91931662497663,89.92293944573872,5.919801521656597,119.55677602502908,176.90914087616815,8412.885744736966,14800.279999999999,8160.394231391855,886.499998797222,1181.9999983960656,0.0,-203011.90998560935,-5.15908653644369e6,-16648.019622673964,83354.41574174084,0.0
2588,20,4,14,49.30436270903817,147.3561777759229,109.54912741883112,7.957763013480192,121.58587188417202,203.07744543995364,11588.308590314778,15266.78,4084.4713542377945,1569.99999999998,270.6666393940768,0.0,-347388.84996370156,-5.092392437793596e6,-4170.731909107795,-110825.71360003774,0.0
2589,21,4,14,49.30436270903817,138.8401292627873,96.77505613844009,7.154849702593917,121.5858713328563,186.04534908090903,9715.183058828796,14999.480000000001,5690.296885920637,1569.9999999999272,270.6666395157677,0.0,-256678.23871085863,-5.135979757587408e6,-8094.88021482648,-84085.32245076098,0.0
2590,22,4,14,49.30436270903817,136.4532807449451,93.19478313260213,7.2835031783162725,121.58587141849908,181.27165189706105,9190.189841816938,14217.18,5432.990102927462,1569.9999999997178,270.66663951393724,0.0,-234116.1567583168,-4.915948887118082e6,-7379.35498221466,-76590.61784914735,0.0
2591,23,4,14,49.30436270903817,130.30092613943685,87.95914788231893,6.450360055580285,117.59298346225522,174.29074990392533,7836.964719115928,13163.24,7099.275257167526,886.4999987813542,1181.9999983750217,0.0,-181737.73686812108,-4.64984902788232e6,-12599.943735014625,83354.41652795719,0.0
