Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_01_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Prod_H2_Green_e_in,Prod_H2_Green_q_elec_gc,Prod_H2_Green_h2_out,Prod_H2_Green_q_h2gc,Offtaker_Green_h2_in,Offtaker_Green_q_h2gc,Offtaker_Green_ep,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_01_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Prod_H2_Green_obj,Offtaker_Green_obj,Offtaker_Grey_obj,Offtaker_Import_obj
840,24,3,5,1.0,122.27454599754621,74.74999529591332,5.580107037711818,118.7151056598103,166.9713401246172,0.0,8839.838564042244,6071.541403594606,13138.380000000001,8839.838580202048,1773.0000118388816,0.0003396784712661853,1182.0000078925877,1182.000007889076,1181.9999993934148,1.6691541225047574e-7,886.4999995450611,886.4999991289785,1181.9999988370225,0.0,0.0,-1.1302144924933147e6,-125920.41934393346,-4.74692926407626e6,-19535.453797391463,-8336.977435825393,-49027.59853572796,91169.42175965325,0.0
841,1,4,5,91.40342263161324,139.7810441143465,87.87986885168729,9.261979501852947,131.84497924291585,184.47783806461496,0.0,1476.0414128687473,9922.138568958304,9625.18,1476.0414155627168,1773.0000113260776,9.40921407366192e-10,1182.0000075507182,1182.000007550684,1181.9999993899087,6.709523770377751e-10,886.4999995424314,886.4999991220845,1181.999998829225,0.0,0.0,-219993.67515668512,-265916.74376207474,-3.351367177270974e6,-544.6742556851805,-8336.979286328627,-49027.59843619261,91169.42191052967,0.0
842,2,4,5,91.40342263161324,138.6041522384329,86.99720120546769,9.028379626358198,130.9623115680715,183.30094789650647,0.0,1943.2412907853973,9663.278689855399,9833.52,1943.2412943337413,1773.0000116216659,9.917338562134584e-10,1182.000007747777,1182.0000077477425,1181.9999993922604,6.89342879883863e-10,886.4999995441954,886.4999991215083,1181.999998828553,0.0,0.0,-286885.6317828529,-254391.8075827579,-3.432920652392325e6,-944.0461504757586,-8336.98223421551,-49027.59846009177,91169.42185284535,0.0
843,3,4,5,91.40342263161324,139.15408393090436,87.40965104994144,8.940759222013815,131.37476139454918,183.85088105021362,0.0,2118.482147080581,9784.237832969673,10129.72,2118.482150949389,1773.0000118534874,1.0122375817136198e-9,1182.0000079023248,1182.0000079022905,1181.9999993914812,6.806255356674913e-10,886.499999543611,886.499999121699,1181.9999988287755,0.0,0.0,-313736.281294156,-259739.19945930783,-3.5270040588254393e6,-1121.9910257486881,-8336.984755618265,-49027.59848465375,91169.42180699599,0.0
844,4,4,5,91.40342263161324,141.30151638554972,89.02022550587553,9.006946944127485,132.98533059292475,185.9983068770113,0.0,1986.1066668934554,10256.570909546957,10522.02,1986.1066705201838,1720.6576074572374,9.966721133171631e-10,1147.1050716381583,1147.1050716381242,1147.105062868123,6.48597662535634e-10,860.3287971510922,912.6712029736165,1147.1050585940839,0.0,0.0,-298528.6411095824,-281257.2978229597,-3.635841487460418e6,-986.1543717776658,-8090.855003815872,-47580.20268628767,84579.89012531392,0.0
845,5,4,5,91.40342263161324,141.30151630933963,89.02022550612278,9.090820719287343,132.9853305928994,185.99830687698244,0.0,1818.359071001894,10256.570909617865,11002.099999999999,1818.3590743218606,1072.8300113297937,9.77621937813828e-10,715.2200075531957,715.2200075531617,715.2199987831631,6.485976608590944e-10,536.4149990873724,1236.5850010373856,715.2199945090025,0.0,0.0,-273467.2702451779,-281257.2970413058,-3.7951288319005137e6,-826.6069644771196,-5044.648144255218,-29666.25604636858,3023.072763902106,0.0
846,6,4,5,91.40342263161324,141.30151642588476,89.02022550616769,8.963140832161624,132.98533059289215,185.9983068769785,0.0,2073.718914625759,10256.570909629452,11518.72,2073.718918412705,811.5698554322285,1.0069199426121923e-9,541.0465702881522,541.0465702881182,541.0465615180932,6.48597662179503e-10,405.78492113856987,1367.215078986194,541.0465572439281,0.0,0.0,-311606.6619557676,-281257.29823665926,-3.965896258666833e6,-1075.076933930406,-3816.1537433223566,-22441.80231855585,-29867.694696021208,0.0
847,7,4,5,91.40342263161324,141.3015165310195,89.02022550628469,8.84803423991618,132.98533059288556,185.99830687696866,0.0,2303.9321616549373,10256.570909654332,11991.22,2303.932165862876,569.2831029072803,1.0348798357353245e-9,379.5220686048535,379.5220686048194,379.52205983476296,6.485976665511724e-10,284.6415448760722,1488.358455248711,379.52205556059903,0.0,0.0,-345934.3790791996,-281257.2993149811,-4.121495732582409e6,-1327.0251124053902,-2676.8759104165656,-15742.007524094734,-60369.847649798496,0.0
848,8,4,5,91.40342263161324,141.3015168254562,89.02022550615618,8.58307200939893,132.9853305928728,185.9983068769793,1095.6985185819558,1738.1582795203335,10256.570909628073,12272.019999999999,2833.856803490861,818.4077405090243,1.1055444592949604e-9,545.6051603393496,545.6051603393155,545.6051515692124,6.485976622482284e-10,409.2038636769092,1363.7961364478545,545.6051472950472,0.0,-164228.32194461633,-260523.13905580435,-281257.30233489163,-4.213701865887164e6,-2007.6849305486176,-3848.3064349856286,-22630.885817202383,-29006.854330987524,0.0
849,9,4,5,91.40342263161324,141.03677452335455,88.82166829179033,8.06878060532989,132.78677868176777,185.733570764589,2910.435928150644,952.0040095324833,10198.34003856691,12287.779999999999,3862.4399453029764,1773.0000118090422,1.2744593301779057e-9,1182.0000078726948,1182.0000078726607,1181.9999993639103,6.523819757471447e-10,886.4999995229327,886.4999991298926,1181.9999988329935,0.0,-433962.1647333697,-141949.08632607432,-278549.66751280194,-4.222124221086914e6,-3729.608350349652,-8336.983148351603,-49027.598535441284,91169.42180864644,0.0
