Time;jh;jd;jy;W;Elec_Price;H2_Price;Elec_GC_Price;H2_GC_Price;EP_Price;Gen_VRES_01_g;Gen_Conv_01_g;Cons_Elec_01_d;Demand_GC_Elec_01_d_gc;Prod_H2_Green_e_in;Prod_H2_Green_q_elec_gc;Prod_H2_Green_h2_out;Prod_H2_Green_q_h2gc;Offtaker_Green_h2_in;Offtaker_Green_q_h2gc;Offtaker_Green_ep;Offtaker_Grey_ep;Offtaker_Grey_q_h2gc;Offtaker_Import_ep;Gen_VRES_01_obj;Gen_Conv_01_obj;Cons_Elec_01_obj;Demand_GC_Elec_01_obj;Prod_H2_Green_obj;Offtaker_Green_obj;Offtaker_Grey_obj;Offtaker_Import_obj
125;5;6;1;35.31054133;60.27743279;70.20655342;16.98748996;49.27085617;127.976978;8.115533237;34.53496612;18;4.5;24.74407681;3.666791689;16.49605121;16.49605121;17.20039616;0.028664998;12.90029712;22.93071083;16.32316491;0;-22141.33541;-338.3149566;-276623;-299.9205061;-12980.80115;-12416.81346;5745.883734;0
126;6;6;1;35.31054133;60.40945931;70.81822196;16.95348296;49.25981388;128.3621069;19.47727977;28.00506245;20.8;5.2;26.81002592;14.34646153;17.87335061;17.87335061;18.74881188;0.152316109;14.06160891;21.72868274;17.67043493;0;-53206.61824;-404.9036322;-319042.1549;-320.6864028;-8113.483968;-13110.30607;8974.919618;0
127;7;6;1;35.31054133;60.23056444;70.37006619;16.85431386;49.27601723;128.0821089;40.57766618;9.927074617;24.8;6.2;25.7732851;34.45288869;17.18219007;17.18219007;17.70444923;0.120983484;13.27833692;22.60663712;16.99790499;0;-110448.7059;-80.81983933;-379677.3725;-349.3361561;4547.43743;-12568.58197;7159.106844;0
128;8;6;1;35.31054133;58.29485363;68.16501786;16.75195924;48.90207203;126.3454852;68.17047919;0;28.8;6.596713434;39.17135244;61.64319032;26.11423496;26.11423496;26.4908991;5.058360517;19.86817433;15.82646681;21.10195574;0;-180647.9242;0;-441867.2235;-372.4286499;11912.28238;-11230.87023;21715.04409;0
129;9;6;1;35.31054133;15.8732671;45.36419714;16.66291646;49.34773843;127.2610421;94.14018554;0;31.2;6.757030702;62.62822203;87.45999799;41.75214802;41.75214802;41.59993275;35.32722622;31.19994957;4.976766021;6.401859508;0;-108154.8589;0;-524763.8693;-393.1620435;-48647.93916;-4296.310536;6364.564775;0
130;10;6;1;35.31054133;-16.62042161;26.846511;16.86795285;49.33293883;127.4168037;95.48814189;0;32.8;6.416599757;62.62822203;89.12165608;41.75214802;41.75214802;41.59993275;35.31251648;31.19994957;4.888566619;6.413752949;0;-834.6104805;0;-588845.2901;-346.1811877;-91560.47317;-31712.92453;6439.951021;0
131;11;6;1;35.31054133;-16.55997754;26.90419104;16.85552821;49.33294875;127.4165549;94.64022419;0;32;6.399352861;62.62822203;88.27374457;41.75214802;41.75214802;41.59993275;35.31277313;31.19994957;4.88859633;6.413457016;0;-987.6705173;0;-574640.8993;-349.0325284;-92055.61438;-31627.46389;6439.451938;0
132;12;6;1;35.31054133;-16.55355571;26.96187097;16.85333938;49.33295867;127.4163062;93.84402652;0;31.2;6.402299954;62.62822203;87.47540221;41.75214802;41.75214802;41.59993275;35.31302976;31.19994957;4.888626039;6.413161102;0;-993.3881536;0;-560488.1397;-349.5215343;-92608.3811;-31542.00345;6438.952887;0
133;13;6;1;35.31054133;-16.5641322;27.04839087;16.86064311;49.33297355;127.4159331;92.59995002;0;30;6.377093346;62.62822203;86.24400908;41.75214802;41.75214802;41.59993275;35.3134147;31.19994957;4.888670603;6.41271723;0;-969.5178687;0;-539259.9023;-347.9197784;-93469.90824;-31413.81279;6438.204311;0
134;14;6;1;35.31054133;-16.4306121;27.13491077;16.79997563;49.33298842;127.41556;91.63409124;0;28.8;6.521765954;62.62822203;85.196099;41.75214802;41.75214802;41.59993275;35.31379964;31.19994957;4.888715167;6.412273359;0;-1195.130867;0;-517858.8069;-361.4546679;-94108.60382;-31285.62213;6437.455735;0
